/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_10.txt 2210056 103.154, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_10.txt 2209536 33.2875, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_10.txt 2209536 33.7584, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_10.txt 2215680 186.092
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_5.txt 744 0.00597, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_5.txt 744 0.000872, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_5.txt 744 0.006689, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_5.txt 744 0.001392
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_6.txt 4144 0.114088, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_6.txt 4144 0.040793, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_6.txt 4144 0.039044, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_6.txt 4144 0.148783
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_7.txt 21216 1.30673, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_7.txt 21216 1.21137, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_7.txt 21216 5.76665, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_7.txt 21216 1.80549
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_8.txt 102976 113.8, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_8.txt 102982 93.1786, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_8.txt 102976 21.8929, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_8.txt 102976 21.3692
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_9.txt 483456 9.58518, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_9.txt 483456 9.36241, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_9.txt 482432 10.3842, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_9.txt 482944 59.2586
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x10 3601 1.13161, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x10 3429 3.42956, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x10 3565 1.32676, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x10 3443 1.35529
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x15 8446 16.7379, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x15 8465 9.61396, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x15 8728 31.2844, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x15 8363 3.46898
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x20 15761 11.1132, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x20 17050 22.2524, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x20 16398 63.1799, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x20 15483 24.8551
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x25 25446 14.9864, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x25 26179 257.287, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x25 25056 56.1731, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x25 24829 18.0439
