/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_10.txt 2208128 69.5325, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_10.txt 2205568 271.803, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_10.txt 2208576 51.9008, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_10.txt 2205440 33.4466
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_5.txt 744 0.008954, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_5.txt 744 0.009014, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_5.txt 744 0.012978, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_5.txt 744 0.001891
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_6.txt 4144 0.819554, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_6.txt 4144 0.016673, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_6.txt 4144 0.013869, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_6.txt 4144 0.013691
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_7.txt 21216 1.54579, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_7.txt 21216 0.153144, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_7.txt 21216 1.2937, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_7.txt 21216 3.52142
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_8.txt 102976 1.15832, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_8.txt 102976 50.8522, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_8.txt 102976 19.7587, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_8.txt 103000 24.2053
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_9.txt 482432 17.2464, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_9.txt 482432 18.4672, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_9.txt 483968 4.2559, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Hyper_9.txt 483840 5.47056
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x10 3545 0.904774, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x10 3507 4.19259, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x10 3399 1.49018, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x10 3687 16.5573
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x15 8543 5.06274, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x15 8413 9.29989, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x15 8345 4.8269, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x15 8345 4.7893
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x20 15818 6.50395, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x20 15757 11.5185, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x20 16528 42.429, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x20 15537 50.2021
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x25 24755 49.1726, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x25 24558 29.412, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x25 24558 29.0666, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh30x25 25494 23.587
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh40x10 6629 12.0115, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh40x10 4760 3.45855, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh40x10 4596 36.6412, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh40x10 5567 7.6166
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh40x20 21383 16.2204, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh40x20 21730 159.321, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh40x20 21760 73.0434, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh40x20 21314 77.0578
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh40x30 47847 66.3564, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh40x30 50758 89.1948, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh40x30 61685 1102.32, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh40x30 49521 211.619
/home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh50x20 26646 157.982, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh50x20 26646 156.659, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh50x20 26646 155.06, /home/ubuntu/betterDP-LS/code//BGCMP/struct_bip_gr/Mesh50x20 27656 401.327
